Number,State,Value,Param criterion,Param max_depth,Param max_features,Param min_samples_leaf,Param min_samples_split,Param min_weight_fraction_leaf,Param n_estimators
0,COMPLETE,0.8892045454545453,entropy,6,log2,3,5,0.11603683492289188,55
1,COMPLETE,0.5971590909090908,gini,10,log2,2,8,0.3783765832339809,160
2,COMPLETE,0.9085227272727273,gini,14,log2,3,5,0.06295898421831647,55
3,COMPLETE,0.7505681818181819,log_loss,14,sqrt,3,6,0.2142182314547294,120
4,COMPLETE,0.69375,gini,6,sqrt,5,8,0.2896488979675872,112
5,COMPLETE,0.584659090909091,log_loss,15,log2,2,5,0.3682883527313466,65
6,COMPLETE,0.8801136363636364,gini,9,log2,4,7,0.10837949904603268,64
7,COMPLETE,0.825,log_loss,15,sqrt,3,10,0.1626040535352479,123
8,COMPLETE,0.7193181818181817,gini,7,sqrt,2,9,0.27008973307447554,197
9,COMPLETE,0.68125,entropy,14,sqrt,5,9,0.28455797071560474,148
10,COMPLETE,0.9931818181818182,gini,12,log2,4,6,0.004744890416612822,89
11,COMPLETE,0.99375,gini,12,log2,4,6,0.002211372645590228,86
12,COMPLETE,0.9926136363636363,gini,11,log2,4,6,0.0025761026101981275,88
13,COMPLETE,0.9926136363636363,gini,12,log2,4,6,0.004709337538626113,90
14,COMPLETE,0.9261363636363636,gini,12,log2,5,7,0.0598983901017442,91
15,COMPLETE,0.9420454545454546,entropy,9,log2,4,6,0.055721499518744826,102
16,COMPLETE,0.8829545454545453,gini,12,log2,4,7,0.13062369724104925,147
17,COMPLETE,0.9732954545454545,gini,13,log2,5,6,0.03833946814766491,77
18,COMPLETE,0.7750000000000001,entropy,10,log2,4,5,0.19913052350194313,105
19,COMPLETE,0.9142045454545453,log_loss,8,log2,3,7,0.09917849785128867,71
20,COMPLETE,0.9857954545454545,gini,11,log2,5,8,0.024458589002210734,134
21,COMPLETE,0.9909090909090909,gini,11,log2,4,6,0.006337114846104566,85
22,COMPLETE,0.8897727272727274,gini,11,log2,4,6,0.07958511225675294,97
23,COMPLETE,0.9926136363636363,gini,13,log2,4,5,0.0045284505161078846,80
24,COMPLETE,0.9642045454545455,gini,13,log2,4,7,0.04340198382810605,107
25,COMPLETE,0.8761363636363637,gini,9,log2,3,6,0.14489316983344297,80
26,COMPLETE,0.8761363636363637,gini,12,sqrt,4,6,0.08305217188887659,51
27,COMPLETE,0.9823863636363637,gini,11,log2,5,7,0.028279259441360474,182
28,COMPLETE,0.9926136363636363,entropy,10,log2,4,5,0.001027661864796474,133
29,COMPLETE,0.827840909090909,log_loss,13,log2,3,5,0.1640776500899616,115
